Project	Project Source	Project Name	Oncotree Code	Path to Extended SBS File	Path to Counts SBS_96 File	Path to Extended DBS File	Path to Counts DBS_78 File	Path to Extended INDEL File	Path to Counts INDEL_Alexandrov2018_83 File	Path to Clinical File	Path to Samples File	Path to Genes File
ICGC-BRCA-EU_BRCA_27	ICGC	Breast ER+ and HER2- Cancer - EU/UK	BRCA	mutations/ICGC/processed/extended/extended.ICGC-BRCA-EU_BRCA_27.SBS.tsv	mutations/ICGC/processed/counts/counts.ICGC-BRCA-EU_BRCA_27.SBS-96.tsv	mutations/ICGC/processed/extended/extended.ICGC-BRCA-EU_BRCA_27.DBS.tsv	mutations/ICGC/processed/counts/counts.ICGC-BRCA-EU_BRCA_27.DBS-78.tsv	mutations/ICGC/processed/extended/extended.ICGC-BRCA-EU_BRCA_27.INDEL.tsv	mutations/ICGC/processed/counts/counts.ICGC-BRCA-EU_BRCA_27.INDEL-Alexandrov2018_83.tsv	clinical/ICGC/processed/clinical.ICGC-BRCA-EU_BRCA_27.tsv	mutations/ICGC/processed/samples/samples.ICGC-BRCA-EU_BRCA_27.tsv	
TCGA-BLCA_BLCA_mc3.v0.2.8	TCGA	Bladder Urothelial Carcinoma	BLCA	mutations/PanCanAtlas/processed/extended/extended.TCGA-BLCA_BLCA_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BLCA_BLCA_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-BLCA_BLCA_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BLCA_BLCA_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-BLCA_BLCA_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BLCA_BLCA_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_BLCA.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-BLCA_BLCA_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-BLCA_BLCA_mc3.v0.2.8.tsv
TCGA-BRCA_BRCA_mc3.v0.2.8	TCGA	Breast invasive carcinoma	BRCNOS	mutations/PanCanAtlas/processed/extended/extended.TCGA-BRCA_BRCA_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BRCA_BRCA_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-BRCA_BRCA_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BRCA_BRCA_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-BRCA_BRCA_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-BRCA_BRCA_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_BRCA.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-BRCA_BRCA_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-BRCA_BRCA_mc3.v0.2.8.tsv
TCGA-CHOL_CHOL_mc3.v0.2.8	TCGA	Cholangiocarcinoma	CHOL	mutations/PanCanAtlas/processed/extended/extended.TCGA-CHOL_CHOL_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-CHOL_CHOL_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-CHOL_CHOL_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-CHOL_CHOL_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-CHOL_CHOL_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-CHOL_CHOL_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_CHOL.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-CHOL_CHOL_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-CHOL_CHOL_mc3.v0.2.8.tsv
TCGA-DLBC_DLBC_mc3.v0.2.8	TCGA	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	BLL	mutations/PanCanAtlas/processed/extended/extended.TCGA-DLBC_DLBC_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-DLBC_DLBC_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-DLBC_DLBC_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-DLBC_DLBC_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-DLBC_DLBC_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-DLBC_DLBC_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_DLBC.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-DLBC_DLBC_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-DLBC_DLBC_mc3.v0.2.8.tsv
TCGA-ESCA_ESCA_mc3.v0.2.8	TCGA	Esophageal carcinoma	EGC	mutations/PanCanAtlas/processed/extended/extended.TCGA-ESCA_ESCA_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-ESCA_ESCA_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-ESCA_ESCA_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-ESCA_ESCA_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-ESCA_ESCA_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-ESCA_ESCA_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_ESCA.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-ESCA_ESCA_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-ESCA_ESCA_mc3.v0.2.8.tsv
TCGA-KICH_KICH_mc3.v0.2.8	TCGA	Kidney Chromophobe	CHRCC	mutations/PanCanAtlas/processed/extended/extended.TCGA-KICH_KICH_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KICH_KICH_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KICH_KICH_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KICH_KICH_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KICH_KICH_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KICH_KICH_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_KICH.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-KICH_KICH_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-KICH_KICH_mc3.v0.2.8.tsv
TCGA-KIRC_KIRC_mc3.v0.2.8	TCGA	Kidney renal clear cell carcinoma	CCRCC	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRC_KIRC_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRC_KIRC_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRC_KIRC_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRC_KIRC_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRC_KIRC_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRC_KIRC_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_KIRC.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-KIRC_KIRC_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-KIRC_KIRC_mc3.v0.2.8.tsv
TCGA-KIRP_KIRP_mc3.v0.2.8	TCGA	Kidney renal papillary cell carcinoma	CCPRC	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRP_KIRP_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRP_KIRP_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRP_KIRP_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRP_KIRP_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-KIRP_KIRP_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-KIRP_KIRP_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_KIRP.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-KIRP_KIRP_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-KIRP_KIRP_mc3.v0.2.8.tsv
TCGA-LAML_LAML_mc3.v0.2.8	TCGA	Acute Myeloid Leukemia	AML	mutations/PanCanAtlas/processed/extended/extended.TCGA-LAML_LAML_mc3.v0.2.8.SBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-LAML_LAML_mc3.v0.2.8.SBS-96.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-LAML_LAML_mc3.v0.2.8.DBS.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-LAML_LAML_mc3.v0.2.8.DBS-78.tsv	mutations/PanCanAtlas/processed/extended/extended.TCGA-LAML_LAML_mc3.v0.2.8.INDEL.tsv	mutations/PanCanAtlas/processed/counts/counts.TCGA-LAML_LAML_mc3.v0.2.8.INDEL-Alexandrov2018_83.tsv	clinical/PanCanAtlas/processed/clinical.TCGA_LAML.tsv	mutations/PanCanAtlas/processed/samples/samples.TCGA-LAML_LAML_mc3.v0.2.8.tsv	gene-alterations/mutations/maf/processed/PanCanAtlas-TCGA-LAML_LAML_mc3.v0.2.8.tsv
